set_num,name,year,theme_id,num_parts,img_url
7792-1,Deluxe Starter Set,2006,505,120,https://cdn.rebrickable.com/media/sets/7792-1.jpg
7793-1,Standard Starter Set,2006,34,487,https://cdn.rebrickable.com/media/sets/7793-1.jpg
77940-1,Mighty Dinosaurs - Brown Version,2021,672,174,https://cdn.rebrickable.com/media/sets/77940-1.jpg
77941-1,Mighty Dinosaurs - Blue Version,2021,672,174,https://cdn.rebrickable.com/media/sets/77941-1.jpg
77942-1,Fiat 500 - Bright Light Blue Version,2021,673,960,https://cdn.rebrickable.com/media/sets/77942-1.jpg
77943-1,Fire Station Starter Set,2021,52,239,https://cdn.rebrickable.com/media/sets/77943-1.jpg
77944-1,Fire Station Headquarters,2021,52,909,https://cdn.rebrickable.com/media/sets/77944-1.jpg
7795-1,Deluxe Starter Set,2006,34,1104,https://cdn.rebrickable.com/media/sets/7795-1.jpg
7796-1,House,2008,22,54,https://cdn.rebrickable.com/media/sets/7796-1.jpg
7797-1,Bi-Plane,2008,22,37,https://cdn.rebrickable.com/media/sets/7797-1.jpg
7798-1,Stegosaurus,2008,22,48,https://cdn.rebrickable.com/media/sets/7798-1.jpg
7799-1,Cargo Chopper,2008,22,40,https://cdn.rebrickable.com/media/sets/7799-1.jpg
7800-1,Off Road Racer,2009,112,28,https://cdn.rebrickable.com/media/sets/7800-1.jpg
780-1,Road Construction Set,1976,416,159,https://cdn.rebrickable.com/media/sets/780-1.jpg
7801-1,Rally Racer,2009,112,42,https://cdn.rebrickable.com/media/sets/7801-1.jpg
7802-1,Le Mans Racer,2009,112,29,https://cdn.rebrickable.com/media/sets/7802-1.jpg
7803-1,Jeep,2009,22,38,https://cdn.rebrickable.com/media/sets/7803-1.jpg
7804-1,Green Lizard,2009,22,33,https://cdn.rebrickable.com/media/sets/7804-1.jpg
7805-1,Shark,2009,22,44,https://cdn.rebrickable.com/media/sets/7805-1.jpg
7806-1,Truck,2009,22,36,https://cdn.rebrickable.com/media/sets/7806-1.jpg
7807-1,Airliner,2009,22,34,https://cdn.rebrickable.com/media/sets/7807-1.jpg
7808-1,Yellow Airplane,2009,22,34,https://cdn.rebrickable.com/media/sets/7808-1.jpg
7810-1,Push-Along Steam Engine,1980,235,97,https://cdn.rebrickable.com/media/sets/7810-1.jpg
781-1,Storage Case,1982,473,1,https://cdn.rebrickable.com/media/sets/781-1.jpg
7813-1,Shell Tanker Wagon,1986,234,121,https://cdn.rebrickable.com/media/sets/7813-1.jpg
7814-1,Crane Wagon with Small Container,1980,235,113,https://cdn.rebrickable.com/media/sets/7814-1.jpg
7815-1,Passenger Carriage / Sleeper,1983,234,228,https://cdn.rebrickable.com/media/sets/7815-1.jpg
7816-1,Shell Tanker Wagon,1980,235,116,https://cdn.rebrickable.com/media/sets/7816-1.jpg
7817-1,Crane Wagon,1985,235,148,https://cdn.rebrickable.com/media/sets/7817-1.jpg
7818-1,Passenger Carriage,1980,235,118,https://cdn.rebrickable.com/media/sets/7818-1.jpg
7819-1,Postal Container Wagon Covered,1983,233,183,https://cdn.rebrickable.com/media/sets/7819-1.jpg
7820-1,Mail Van,1980,233,212,https://cdn.rebrickable.com/media/sets/7820-1.jpg
782-1,Storage Case,1984,473,1,https://cdn.rebrickable.com/media/sets/782-1.jpg
7821-1,Overhead Gantry and Lighting Maintenance Wagon,1983,235,90,https://cdn.rebrickable.com/media/sets/7821-1.jpg
7822-1,Railway Station,1980,235,384,https://cdn.rebrickable.com/media/sets/7822-1.jpg
7823-1,Container Crane Depot,1986,234,484,https://cdn.rebrickable.com/media/sets/7823-1.jpg
